[F10_SWEEP] initialize
[F10_SWEEP] Main instantiated; awaiting tick 8
[F10_SWEEP] Wall cap reached; forcing sweep
[F10_SWEEP] PANEL_COUNT=85
[F10_SWEEP] PANEL=ai_pipeline_health               94ms
[F10_SWEEP] PANEL=food_pipeline                    14ms
[F10_SWEEP] PANEL=survival_audit                   32ms
[F10_SWEEP] PANEL=structure_inventory              24ms
[F10_SWEEP] PANEL=job_pipeline                     10ms
[F10_SWEEP] PANEL=pathfinder_audit                 12ms
[F10_SWEEP] PANEL=resource_truth_audit              8ms
[F10_SWEEP] PANEL=guild_settlement_audit            5ms
[F10_SWEEP] PANEL=save_dump                       107ms
[F10_SWEEP] PANEL=session_snapshot_pack          6259ms
[F10_SWEEP] PANEL=session_snapshot_guide           15ms
[F10_SWEEP] PANEL=performance_snapshot             38ms
[F10_SWEEP] PANEL=ai_diagnostic                    37ms
[F10_SWEEP] PANEL=playtest_truth_all             5997ms
[F10_SWEEP] PANEL=visual_selection_truth           12ms
[F10_SWEEP] PANEL=colony_truth                     25ms
[F10_SWEEP] PANEL=error_report                   6050ms
[F10_SWEEP] PANEL=playtest_bundle                  17ms
[F10_SWEEP] PANEL=soul_bundle                      27ms
[F10_SWEEP] PANEL=portable_character                7ms
[F10_SWEEP] PANEL=creator_digest                   55ms
[F10_SWEEP] PANEL=chronicle_summary                 7ms
[F10_SWEEP] PANEL=promotion_bundle                 17ms
[F10_SWEEP] PANEL=calendar                          5ms
[F10_SWEEP] PANEL=sim_diag                          7ms
[F10_SWEEP] PANEL=kernel                            5ms
[F10_SWEEP] PANEL=harness                           7ms
[F10_SWEEP] PANEL=colony_sim                        9ms
[F10_SWEEP] PANEL=civilization_stage               18ms
[F10_SWEEP] PANEL=backbone_status                  31ms
[F10_SWEEP] PANEL=settlements_economy_all          27ms
[F10_SWEEP] PANEL=settlements                       3ms
[F10_SWEEP] PANEL=registry                          6ms
[F10_SWEEP] PANEL=intent                           10ms
[F10_SWEEP] PANEL=jobs_stock                        8ms
[F10_SWEEP] PANEL=authority_job_audit              17ms
[F10_SWEEP] PANEL=trade                             6ms
[F10_SWEEP] PANEL=world_events                      6ms
[F10_SWEEP] PANEL=cultural                          6ms
[F10_SWEEP] PANEL=world_camera_all                 23ms
[F10_SWEEP] PANEL=revival                           6ms
[F10_SWEEP] PANEL=rebirth                           6ms
[F10_SWEEP] PANEL=wildlife                          7ms
[F10_SWEEP] PANEL=road                              7ms
[F10_SWEEP] PANEL=remnant                           6ms
[F10_SWEEP] PANEL=main_world                        8ms
[F10_SWEEP] PANEL=nations_all                      27ms
[F10_SWEEP] PANEL=nations                           9ms
[F10_SWEEP] PANEL=nation_details                    8ms
[F10_SWEEP] PANEL=contested_regions                 8ms
[F10_SWEEP] PANEL=memory_layers_all                22ms
[F10_SWEEP] PANEL=world_memory                      7ms
[F10_SWEEP] PANEL=history_snip                      6ms
[F10_SWEEP] PANEL=world_meaning                     5ms
[F10_SWEEP] PANEL=world_persist                     6ms
[F10_SWEEP] PANEL=myth                              5ms
[F10_SWEEP] PANEL=age                               7ms
[F10_SWEEP] PANEL=pawns_social_all                534ms
[F10_SWEEP] PANEL=pawns                            32ms
[F10_SWEEP] PANEL=profession_liking                35ms
[F10_SWEEP] PANEL=grudges                          18ms
[F10_SWEEP] PANEL=gossip_reputation                27ms
[F10_SWEEP] PANEL=avoidance_ai                     15ms
[F10_SWEEP] PANEL=life_arcs                       143ms
[F10_SWEEP] PANEL=knowledge_carriers               20ms
[F10_SWEEP] PANEL=myth_formation                   25ms
[F10_SWEEP] PANEL=record_carriers                  21ms
[F10_SWEEP] PANEL=memorial_system                  20ms
[F10_SWEEP] PANEL=knowledge_system                 32ms
[F10_SWEEP] PANEL=heelkawnians                    175ms
[F10_SWEEP] PANEL=communication                     5ms
[F10_SWEEP] PANEL=force_building                   11ms
[F10_SWEEP] PANEL=dynasty_legacy_all               49ms
[F10_SWEEP] PANEL=legacy_dynasty                   13ms
[F10_SWEEP] PANEL=chronicle_view                   11ms
[F10_SWEEP] PANEL=settlement_legends                9ms
[F10_SWEEP] PANEL=chronicle_export                  9ms
[F10_SWEEP] PANEL=read_knowledge_stone             10ms
[F10_SWEEP] PANEL=dynasty_tree                      5ms
[F10_SWEEP] PANEL=endgame_status                   26ms
[F10_SWEEP] PANEL=stubs_all                        16ms
[F10_SWEEP] PANEL=vision_scope                      6ms
[F10_SWEEP] PANEL=player_intents                    8ms
[F10_SWEEP] PANEL=factions                          6ms
[F10_SWEEP] PANEL=religion_lens                     7ms
[F10_SWEEP] DONE invoked=85 errored=0
[F10_SWEEP] ERRED=[]
